5-STAR ARTIFACTS  (grouped by set, ordered Flower>Plume>Sands>Goblet>Circlet)
=============================================================================================
ID        Slot     Name                                             MainStat         Substats
---------------------------------------------------------------------------------------------
51540     Flower   Heart of Comradeship                             Flat HP          0
51541     Flower   Heart of Comradeship                             Flat HP          1
51542     Flower   Heart of Comradeship                             Flat HP          2
51543     Flower   Heart of Comradeship                             Flat HP          3
51544     Flower   Heart of Comradeship                             Flat HP          4
51520     Plume    Feather of Homecoming                            Flat ATK         0
51521     Plume    Feather of Homecoming                            Flat ATK         1
51522     Plume    Feather of Homecoming                            Flat ATK         2
51523     Plume    Feather of Homecoming                            Flat ATK         3
51524     Plume    Feather of Homecoming                            Flat ATK         4
51550     Sands    Sundial of the Sojourner                         Any              0
51551     Sands    Sundial of the Sojourner                         Any              1
51552     Sands    Sundial of the Sojourner                         Any              2
51553     Sands    Sundial of the Sojourner                         Any              3
51554     Sands    Sundial of the Sojourner                         Any              4
51510     Goblet   Goblet of the Sojourner                          Any              0
51511     Goblet   Goblet of the Sojourner                          Any              1
51512     Goblet   Goblet of the Sojourner                          Any              2
51513     Goblet   Goblet of the Sojourner                          Any              3
51514     Goblet   Goblet of the Sojourner                          Any              4
51530     Circlet  Crown of Parting                                 Any              0
51531     Circlet  Crown of Parting                                 Any              1
51532     Circlet  Crown of Parting                                 Any              2
51533     Circlet  Crown of Parting                                 Any              3
51534     Circlet  Crown of Parting                                 Any              4

52540     Flower   Medal of the Brave                               Flat HP          0
52541     Flower   Medal of the Brave                               Flat HP          1
52542     Flower   Medal of the Brave                               Flat HP          2
52543     Flower   Medal of the Brave                               Flat HP          3
52544     Flower   Medal of the Brave                               Flat HP          4
52520     Plume    Prospect of the Brave                            Flat ATK         0
52521     Plume    Prospect of the Brave                            Flat ATK         1
52522     Plume    Prospect of the Brave                            Flat ATK         2
52523     Plume    Prospect of the Brave                            Flat ATK         3
52524     Plume    Prospect of the Brave                            Flat ATK         4
52550     Sands    Fortitude of the Brave                           Any              0
52551     Sands    Fortitude of the Brave                           Any              1
52552     Sands    Fortitude of the Brave                           Any              2
52553     Sands    Fortitude of the Brave                           Any              3
52554     Sands    Fortitude of the Brave                           Any              4
52510     Goblet   Outset of the Brave                              Any              0
52511     Goblet   Outset of the Brave                              Any              1
52512     Goblet   Outset of the Brave                              Any              2
52513     Goblet   Outset of the Brave                              Any              3
52514     Goblet   Outset of the Brave                              Any              4
52530     Circlet  Crown of the Brave                               Any              0
52531     Circlet  Crown of the Brave                               Any              1
52532     Circlet  Crown of the Brave                               Any              2
52533     Circlet  Crown of the Brave                               Any              3
52534     Circlet  Crown of the Brave                               Any              4

53540     Flower   Guardian's Flower                                Flat HP          0
53541     Flower   Guardian's Flower                                Flat HP          1
53542     Flower   Guardian's Flower                                Flat HP          2
53543     Flower   Guardian's Flower                                Flat HP          3
23484     Flower   Guardian's Flower                                Flat HP          4
53544     Flower   Guardian's Flower                                Flat HP          4
53520     Plume    Guardian's Sigil                                 Flat ATK         0
53521     Plume    Guardian's Sigil                                 Flat ATK         1
53522     Plume    Guardian's Sigil                                 Flat ATK         2
53523     Plume    Guardian's Sigil                                 Flat ATK         3
23482     Plume    Guardian's Sigil                                 Flat ATK         4
53524     Plume    Guardian's Sigil                                 Flat ATK         4
23485     Sands    Guardian's Clock                                 ATK%             4
53550     Sands    Guardian's Clock                                 Any              0
53551     Sands    Guardian's Clock                                 Any              1
53552     Sands    Guardian's Clock                                 Any              2
53553     Sands    Guardian's Clock                                 Any              3
53554     Sands    Guardian's Clock                                 Any              4
23481     Goblet   Guardian's Vessel                                ATK%             4
53510     Goblet   Guardian's Vessel                                Any              0
53511     Goblet   Guardian's Vessel                                Any              1
53512     Goblet   Guardian's Vessel                                Any              2
53513     Goblet   Guardian's Vessel                                Any              3
53514     Goblet   Guardian's Vessel                                Any              4
53530     Circlet  Guardian's Band                                  Any              0
53531     Circlet  Guardian's Band                                  Any              1
53532     Circlet  Guardian's Band                                  Any              2
53533     Circlet  Guardian's Band                                  Any              3
53534     Circlet  Guardian's Band                                  Any              4
23483     Circlet  Guardian's Band                                  CRIT DMG         4

54540     Flower   Tiny Miracle's Flower                            Flat HP          0
54541     Flower   Tiny Miracle's Flower                            Flat HP          1
54542     Flower   Tiny Miracle's Flower                            Flat HP          2
54543     Flower   Tiny Miracle's Flower                            Flat HP          3
54544     Flower   Tiny Miracle's Flower                            Flat HP          4
54520     Plume    Tiny Miracle's Feather                           Flat ATK         0
54521     Plume    Tiny Miracle's Feather                           Flat ATK         1
54522     Plume    Tiny Miracle's Feather                           Flat ATK         2
54523     Plume    Tiny Miracle's Feather                           Flat ATK         3
54524     Plume    Tiny Miracle's Feather                           Flat ATK         4
54550     Sands    Tiny Miracle's Hourglass                         Any              0
54551     Sands    Tiny Miracle's Hourglass                         Any              1
54552     Sands    Tiny Miracle's Hourglass                         Any              2
54553     Sands    Tiny Miracle's Hourglass                         Any              3
54554     Sands    Tiny Miracle's Hourglass                         Any              4
54510     Goblet   Tiny Miracle's Goblet                            Any              0
54511     Goblet   Tiny Miracle's Goblet                            Any              1
54512     Goblet   Tiny Miracle's Goblet                            Any              2
54513     Goblet   Tiny Miracle's Goblet                            Any              3
54514     Goblet   Tiny Miracle's Goblet                            Any              4
54530     Circlet  Tiny Miracle's Earrings                          Any              0
